Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Race Alone or in Combination [1] - White,Race Alone or in Combination [1] - Black or African American,Race Alone or in Combination [1] - American Indian and Alaska Native,Race Alone or in Combination [1] - Asian,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0100000US,,United States,103172252,22064088,2162710,9980635,559758
est72014,"July 1, 2014",female,Female,tothisp,Total,0100000US,,United States,127895087,23766747,3275945,10479257,730152
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0100000US,,United States,25309814,1638648,1184627,495457,177852
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0100000US,,United States,100214102,20209502,2059986,9163053,557300
est72014,"July 1, 2014",male,Male,tothisp,Total,0100000US,,United States,125523916,21848150,3244613,9658510,735152
est72014,"July 1, 2014",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50032649,3341307,2297862,994079,348246
est72014,"July 1, 2014",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203386354,42273590,4222696,19143688,1117058
est72014,"July 1, 2014",totsex,Both Sexes,tothisp,Total,0100000US,,United States,253419003,45614897,6520558,20137767,1465304
est72015,"July 1, 2015",female,Female,hisp,Hispanic,0100000US,,United States,25253810,1753805,1138961,512667,174776
est72015,"July 1, 2015",female,Female,nhisp,Not Hispanic,0100000US,,United States,103230750,22301255,2182727,10301796,571246
est72015,"July 1, 2015",female,Female,tothisp,Total,0100000US,,United States,128484560,24055060,3321688,10814463,746022
est72015,"July 1, 2015",male,Male,hisp,Hispanic,0100000US,,United States,25839815,1691275,1210455,509740,182433
est72015,"July 1, 2015",male,Male,nhisp,Not Hispanic,0100000US,,United States,100359932,20451359,2080518,9466818,569397
est72015,"July 1, 2015",male,Male,tothisp,Total,0100000US,,United States,126199747,22142634,3290973,9976558,751830
est72015,"July 1, 2015",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,51093625,3445080,2349416,1022407,357209
est72015,"July 1, 2015",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203590682,42752614,4263245,19768614,1140643
est72015,"July 1, 2015",totsex,Both Sexes,tothisp,Total,0100000US,,United States,254684307,46197694,6612661,20791021,1497852
est72016,"July 1, 2016",female,Female,hisp,Hispanic,0100000US,,United States,25794679,1805427,1164923,526997,179280
est72016,"July 1, 2016",female,Female,nhisp,Not Hispanic,0100000US,,United States,103292125,22538660,2202571,10617202,582922
est72016,"July 1, 2016",female,Female,tothisp,Total,0100000US,,United States,129086804,24344087,3367494,11144199,762202
est72016,"July 1, 2016",male,Male,hisp,Hispanic,0100000US,,United States,26378898,1744105,1236637,524403,187109
est72016,"July 1, 2016",male,Male,nhisp,Not Hispanic,0100000US,,United States,100473643,20686756,2100367,9764130,581396
est72016,"July 1, 2016",male,Male,tothisp,Total,0100000US,,United States,126852541,22430861,3337004,10288533,768505
est72016,"July 1, 2016",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,52173577,3549532,2401560,1051400,366389
est72016,"July 1, 2016",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203765768,43225416,4302938,20381332,1164318
est72016,"July 1, 2016",totsex,Both Sexes,tothisp,Total,0100000US,,United States,255939345,46774948,6704498,21432732,1530707
est72017,"July 1, 2017",female,Female,hisp,Hispanic,0100000US,,United States,26302925,1855828,1189519,540736,183621
est72017,"July 1, 2017",female,Female,nhisp,Not Hispanic,0100000US,,United States,103313468,22759863,2221203,10909932,593984
est72017,"July 1, 2017",female,Female,tothisp,Total,0100000US,,United States,129616393,24615691,3410722,11450668,777605
est72017,"July 1, 2017",male,Male,hisp,Hispanic,0100000US,,United States,26882099,1795263,1261027,538310,191493
est72017,"July 1, 2017",male,Male,nhisp,Not Hispanic,0100000US,,United States,100526492,20902971,2118228,10039635,592547
est72017,"July 1, 2017",male,Male,tothisp,Total,0100000US,,United States,127408591,22698234,3379255,10577945,784040
est72017,"July 1, 2017",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,53185024,3651091,2450546,1079046,375114
est72017,"July 1, 2017",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203839960,43662834,4339431,20949567,1186531
est72017,"July 1, 2017",totsex,Both Sexes,tothisp,Total,0100000US,,United States,257024984,47313925,6789977,22028613,1561645
est72018,"July 1, 2018",female,Female,hisp,Hispanic,0100000US,,United States,26824622,1907841,1214195,554448,187977
est72018,"July 1, 2018",female,Female,nhisp,Not Hispanic,0100000US,,United States,103313367,22972881,2238966,11197624,604847
est72018,"July 1, 2018",female,Female,tothisp,Total,0100000US,,United States,130137989,24880722,3453161,11752072,792824
est72018,"July 1, 2018",male,Male,hisp,Hispanic,0100000US,,United States,27399438,1848345,1285701,552190,195931
est72018,"July 1, 2018",male,Male,nhisp,Not Hispanic,0100000US,,United States,100543145,21112784,2134870,10309073,603339
est72018,"July 1, 2018",male,Male,tothisp,Total,0100000US,,United States,127942583,22961129,3420571,10861263,799270
est72018,"July 1, 2018",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,54224060,3756186,2499896,1106638,383908
est72018,"July 1, 2018",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203856512,44085665,4373836,21506697,1208186
est72018,"July 1, 2018",totsex,Both Sexes,tothisp,Total,0100000US,,United States,258080572,47841851,6873732,22613335,1592094
